Title,Price,Ratings,Total_no_of_Ratings
"boAt Airdopes 207 Tws in Ear Earbuds with 50 Hrs Playtime, Quad Mics with Enx Tech, ASAP Charging, Iwp Tech, Beast Mode with 50 Ms Low Latency, Bluetooth V5.3, USB Type-C Port & Ipx5(Bold Blue)","1,099",3.6 out of 5 stars,487 ratings
"AmazonBasics True Wireless in-Ear Earbuds with Mic, Touch Control, IPX5 Water-Resistance,Bluetooth 5.0, Up to 80 Hours Play Time, Voice Assistance&Fast Charging (Black)",899,5.0 out of 5 stars,7 ratings
"Mivi DuoPods i2 True Wireless Earbuds, 45+ Hrs Playtime, HD Call Clarity, Fast Charging, Type C, 13mm Bass drivers, IPX 4.0 Sweat Proof, BT v5.3, Made in India Earbuds - Black",899,4.2 out of 5 stars,"2,372 ratings"
"amazon basics True Wireless in-Ear Earbuds with Mic, Low-Latency Gaming Mode, Touch Control, IPX5 Water-Resistance, Bluetooth 5.3, Up to 60 Hours Play Time, Voice Assistance and Fast Charging (White)",899,3.6 out of 5 stars,983 ratings
"Boult Audio Z40 True Wireless in Ear Earbuds with 60H Playtime, Zen™ ENC Mic, Low Latency Gaming, Type-C Fast Charging, Made in India, 10mm Rich Bass Drivers, IPX5, Bluetooth 5.3 Ear Buds TWS (White)","1,099",3.8 out of 5 stars,"23,752 ratings"
"JBL Tune Buds In Ear Wireless TWS Earbuds with Mic, ANC Earbuds, Customized Extra Bass with Headphones App, 48 Hrs Battery, Quick Charge, 4-Mics, IP54, Ambient Aware & Talk-Thru, Bluetooth 5.3(Purple)","4,999",4.3 out of 5 stars,73 ratings
"truke New Launch BTG Ultra Gaming Earbuds with 40ms Ultra low latency Battle Mode™, 60H Playtime, 360Spatial™ Audio, Crystal-Clear Calls, Rapid Charge, Bluetooth 5.4, Noise Cancellation, 1Yr Warranty",999,4.5 out of 5 stars,152 ratings
"Noise Buds N1 in-Ear Truly Wireless Earbuds with Chrome Finish, 40H of Playtime, Quad Mic with ENC, Ultra Low Latency(up to 40 ms), Instacharge(10 min=120 min), BT v5.3(Carbon Black)","1,299",4.2 out of 5 stars,"7,555 ratings"
"Boult Audio Newly Launched W20 Truly Wireless in Ear Earbuds with 35H Playtime, Zen™ ENC Mic, 45ms Low Latency, 13mm Bass Drivers, Type-C Fast Charging, Made in India, IPX5 ear buds TWS (Pine Green)",899,4.2 out of 5 stars,451 ratings
Amazon Basics TWS in-Ear Earbuds (AB-T08) - C2 with Fast Charging up to 50 Hours of Playtime | Dual 10mm Driver | IPX4 Water-Resistance | Bluetooth 5.3 | Charging Case with Mic | Touch Control (Black),999,4.8 out of 5 stars,86 ratings
"boAt Airdopes 141 Bluetooth TWS Earbuds with 42H Playtime,Low Latency Mode for Gaming, ENx Tech, IWP, IPX4 Water Resistance, Smooth Touch Controls(Bold Black), in Ear",999,3.8 out of 5 stars,"198,773 ratings"
"Boult Audio X10 True Wireless in Ear Earbuds with 45H Playtime, 40ms Xtreme Low Latency Mode, ENC Mic, Made in India, Type-C Fast Charging, 10mm Bass Drivers, IPX5, Bluetooth 5.3 Ear Buds (Black)",899,3.7 out of 5 stars,"3,626 ratings"
"Boult Audio Z40 Pro with 100H Playtime, Quad Mic ENC, 45ms Low Latency Gaming, Premium Rubber Grip Case, 13mm Bass Drivers, Made in India TWS Bluetooth 5.3 Truly Wireless in Ear Earbuds (Midnight)","1,299",3.8 out of 5 stars,"23,752 ratings"
"JBL Newly Launched Wave Flex in-Ear Wireless Earbuds TWS with Mic,App for Custom Extra Bass EQ, 32Hrs Battery, Quick Charge, IP54 Water & Dust Proof, Ambient Aware, Talk-Thru,Google FastPair (Black)","2,599",3.7 out of 5 stars,"17,331 ratings"
"boAt Airdopes 125 TWS Earbuds with 50 hrs Playtime,Quad Mics with ENxᵀᴹ Tech,ASAPᵀᴹ Charging,IWPᵀᴹ Tech, BEASTᵀᴹ Mode with 50 ms Low Latency,BTv5.3, IPX5(Mystic Black)",999,3.4 out of 5 stars,774 ratings
"GOVO GoBuds 577 Wireless Aluminum finish Earbuds: with 52H Playtime, Quad Mic ENC, Rapid Charge (5 mins=120 mins playtime), Low Latency Mode,13mm Drivers, BTv5.3, Smart Touch Controls (Metallic Night)","1,382",3.8 out of 5 stars,133 ratings
"amazon basics True Wireless in-Ear Earbuds with Mic, Low-Latency Gaming Mode, Touch Control, IPX5 Water-Resistance, Bluetooth 5.3, Up to 60 Hours Play Time, Voice Assistance and Fast Charging (Black)",999,3.6 out of 5 stars,983 ratings
"Portronics Harmonics Twins S16 in Ear Wireless TWS Earbuds with 24 Hrs Playtime, Clear Calls, Game & Music Mode, Low Latency, Bluetooth 5.3v, LED Display, Type C Fast Charging(Black)",699,4.0 out of 5 stars,67 ratings
"Boult Audio Z40 Pro with 100H Playtime, Quad Mic ENC, 45ms Low Latency Gaming, Premium Rubber Grip Case, 13mm Bass Drivers, Made in India TWS Bluetooth 5.3 Truly Wireless in Ear Earbuds (Dawn)","1,399",3.8 out of 5 stars,"23,752 ratings"
"Boult Audio UFO Truly Wireless in Ear Earbuds with 48H Playtime, Built-in App Support, 45ms Low Latency Gaming, 4 Mics ENC, Breathing LEDs, 13mm Bass Drivers Ear buds TWS, Made in India (Black Gloss)","1,499",4.3 out of 5 stars,"3,161 ratings"
"boAt Airdopes 141 Bluetooth TWS Earbuds with 42H Playtime,Low Latency Mode for Gaming, ENx Tech, IWP, IPX4 Water Resistance, Smooth Touch Controls(Bold Black), in Ear",999,3.8 out of 5 stars,"198,773 ratings"
CrossBeats Sonic 3 TWS Ear buds 30dB Hybrid ANC Bluetooth Earphones 40ms Low Latency Gaming buds with Quad Mics 60hr Playtime13mm Graphene Drivers IPX5 Rating Type-c Fast Charge Hall Switch (Black),"1,999",4.3 out of 5 stars,358 ratings
"Boult Audio Z40 Gaming in Ear Earbuds with 60H Playtime, Dual Device Pairing, Built-in App Support, 40ms Ultra Low Latency, Quad Mic ENC, RGB LEDs, Bluetooth 5.4, IPX5 Ear buds TWS (Black Moss)","1,299",4.0 out of 5 stars,"1,332 ratings"
"pTron Bassbuds Duo in-Ear Wireless Earbuds, Immersive Sound, 32H Playtime, Clear Calls TWS Earbuds, Bluetooth V5.1 Headphone, Type-C Fast Charging, Voice Assistant & IPX4 Water Resistant (Dark Green)",799,4.0 out of 5 stars,787 ratings
"Boult Audio Z40 Pro with 100H Playtime, Quad Mic ENC, 45ms Low Latency Gaming, Premium Rubber Grip Case, 13mm Bass Drivers, Made in India TWS Bluetooth 5.3 Truly Wireless in Ear Earbuds (Midnight)","1,299",3.8 out of 5 stars,"23,752 ratings"
"pTron Bassbuds Fute TWS Earbuds with Mic, Bluetooth V5.1 Wireless Headphones, 13mm Driver, 25Hrs Playtime, Snug-Fit in-Ear Buds, Touch Control, Voice Assistant & Type C Fast Charging (Pearl White)",649,4.0 out of 5 stars,787 ratings
"pTron Bassbuds Duo In-Ear Wireless Earbuds, Immersive Sound, 32H Playtime, Clear Calls TWS Earbuds, Bluetooth V5.1 Headphone, Type-C Fast Charging, Voice Assistant & IPX4 Water Resistant (Light Brown)",599,4.0 out of 5 stars,787 ratings
"Boult Audio Newly Launched W20 Truly Wireless in Ear Earbuds with 35H Playtime, Zen™ ENC Mic, 45ms Low Latency, 13mm Bass Drivers, Type-C Fast Charging, Made in India, IPX5 ear buds TWS (Glacier Blue)",899,4.2 out of 5 stars,451 ratings
"Careflection M10 Bluetooth 5.1 Earbuds in-Ear TWS Stereo Headphones with Smart LED Display Charging Case, Waterproof Built-in Mic for Sports Work - Black.",399,Previous page,N/A
"pTron Bassbuds Duo In-Ear Wireless Earbuds, Immersive Sound, 32Hrs Playtime, Clear Calls TWS Earbuds, Bluetooth V5.1 Headphone,Type-C Fast Charging, Voice Assist & IPX4 Water Resistant (Flamingo Pink)",599,3.7 out of 5 stars,"2,864 ratings"
"OnePlus Nord Buds 2r True Wireless in Ear Earbuds with Mic, 12.4mm Drivers, Playback:Upto 38hr case,4-Mic Design, IP55 Rating [Deep Grey]","1,799",4.2 out of 5 stars,"70,727 ratings"
"Mivi DuoPods i2 True Wireless Earbuds, 45+ Hrs Playtime, HD Call Clarity, Fast Charging, Type C, 13mm Bass drivers, IPX 4.0 Sweat Proof, BT v5.3, Made in India Earbuds - Blue",999,4.2 out of 5 stars,"2,372 ratings"
"amazon basics True Wireless in-Ear Earbuds with Mic, Touch Control, IPX5 Water-Resistance, Bluetooth 5.3, Up to 36 Hours Play Time, Voice Assistance and Fast Charging (White)",799,3.5 out of 5 stars,741 ratings
"pTron Bassbuds Fute TWS Earbuds with Mic, Bluetooth V5.1 Wireless Headphones, 13mm Driver, 25Hrs Playtime, Snug-Fit in-Ear Buds, Touch Control, Voice Assistant & Type C Fast Charging (Pearl Black)",649,4.0 out of 5 stars,787 ratings
Fastrack Fpods FZ100 TWS in-Ear Earbuds with Mega 50 Hrs Playtime|Extra Deep Bass Driver|Quad Mic ENC for Clear Calls|Ultra Low 40ms Latency Gaming Mode|NitroFast Charge-200 Min in 10 Min-Black,999,3.7 out of 5 stars,915 ratings
"boAt Airdopes 170 TWS Earbuds with 50H Playtime, Quad Mics ENx™ Tech, Low Latency Mode, 13mm Drivers, ASAP™ Charge, IPX4, IWP™, Touch Controls & BT v5.3(Classic Black)",999,3.7 out of 5 stars,"65,078 ratings"
"Boult Audio Z60 Earbuds with 60H Battery, Clear Calling 4 Mics, Made in India, 50ms Low Latency Gaming, 13mm Bass Driver, Type-C Fast Charging, IPX5 Ear Buds Bluetooth 5.3 TWS Ear Buds (Powder Blue)",999,3.9 out of 5 stars,"5,560 ratings"
"Noise Buds N1 in-Ear Truly Wireless Earbuds with Chrome Finish, 40H of Playtime, Quad Mic with ENC, Ultra Low Latency(up to 40 ms), Instacharge(10 min=120 min), BT v5.3(Ice Blue)","1,299",4.2 out of 5 stars,"7,555 ratings"
CrossBeats Sonic 3 TWS Ear buds 30dB Hybrid ANC Bluetooth Earphones 40ms Low Latency Gaming buds with Quad Mics 60hr Playtime13mm Graphene Drivers IPX5 Rating Type-c Fast Charge Hall Switch (White),"1,999",4.3 out of 5 stars,358 ratings
"Boult Audio UFO Truly Wireless in Ear Earbuds with 48H Playtime, Built-in App Support, 45ms Low Latency Gaming, 4 Mics ENC, Breathing LEDs, 13mm Bass Drivers Ear buds TWS, Made in India (Black Gloss)","1,499",4.3 out of 5 stars,"3,161 ratings"
"Winwon Bluetooth Wireless earbuds I12 Earphone with Charging Case Compatible noise cancelling sports android headphones mic Touch Control, Water-Resistance Bass and treble 5.3 and Fast Charging",499,5.0 out of 5 stars,1 rating
"amazon basics True Wireless in-Ear Earbuds with Mic, Touch Control, IPX5 Water-Resistance, Bluetooth 5.3, Up to 30 Hours Play Time, Voice Assistance and Fast Charging (Grey)",999,3.8 out of 5 stars,104 ratings
"Boult Audio Z40 True Wireless in Ear Earbuds with 60H Playtime, Zen™ ENC Mic, Low Latency Gaming, Type-C Fast Charging, Made in India, 10mm Rich Bass Drivers, IPX5, Bluetooth 5.3 Ear Buds TWS (Brown)","1,099",3.8 out of 5 stars,"23,752 ratings"
"pTron Bassbuds Turbo TWS Earbuds, 40ms Gaming Low Latency, TruTalk AI-ENC Calls, Deep Bass, 45H Playtime, HD Mic, In-Ear Bluetooth 5.3 Headphones, Type-C Fast Charge & IPX5 Water Resistant (Jet Black)",799,4.0 out of 5 stars,787 ratings
"Sony WF-C500 Truly Wireless Bluetooth Earbuds with 20Hrs Battery, True Wireless Earbuds with Mic for Phone Calls, Quick Charge, Fast Pair, 360 Reality Audio, Upscale Music - DSEE, App Support - Black","5,439",4.0 out of 5 stars,"11,997 ratings"
"Boult Audio Z20 Truly Wireless Bluetooth Ear buds with 51 Hours Playtime, Zen™ Clear Calling ENC Mic, Made in India, Low Latency Gaming, Rich Bass Drivers, IPX5, TWS earbuds bluetooth wireless (Green)",999,3.8 out of 5 stars,"6,297 ratings"
"pTron Bassbuds Duo in Ear Earbuds with 32Hrs Total Playtime, Bluetooth 5.1 Wireless Headphones, Stereo Audio, Touch Control TWS, with Mic, Type-C Fast Charging, IPX4 & Voice Assistance (Blue)",698,3.5 out of 5 stars,"202,657 ratings"
"Boult Audio Z40 Gaming in Ear Earbuds with 60H Playtime, Dual Device Pairing, Built-in App Support, 40ms Ultra Low Latency, Quad Mic ENC, RGB LEDs, Bluetooth 5.4, IPX5 Ear buds TWS (Electric White)","1,299",4.0 out of 5 stars,"1,332 ratings"
Amazon Basics TWS in-Ear Earbuds (AB-T01A) with Fast Charging up to 50 Hours of Playtime | Dual 10mm Driver | IPX4 Water-Resistance | Bluetooth 5.3 | Charging Case with Mic | Touch Control (Blue),999,4.8 out of 5 stars,86 ratings
"boAt Airdopes 141 Bluetooth Truly Wireless in Ear Earbuds with 42H Playtime,Low Latency Mode for Gaming, ENx Tech, IWP, IPX4 Water Resistance, Smooth Touch Controls(Cyan Cider)",999,3.8 out of 5 stars,"198,773 ratings"
Amazon Basics TWS in-Ear Earbuds (AB-T01A) with Fast Charging up to 50 Hours of Playtime | Dual 10mm Driver | IPX4 Water-Resistance | Bluetooth 5.3 | Charging Case with Mic | Touch Control (Blue),999,4.8 out of 5 stars,86 ratings
"Boult Audio K40 True Wireless in Ear Earbuds with 48H Playtime, Clear Calling 4 Mics, 45ms Low Latency Gaming, Premium Grip, 13mm Bass Drivers, Type-C Fast Charging, BTv 5.3 Ear Buds TWS (Berry Red)",999,4.0 out of 5 stars,"2,241 ratings"
"Boult Audio Newly Launched W20 Truly Wireless in Ear Earbuds with 35H Playtime, Zen™ ENC Mic, 45ms Low Latency, 13mm Bass Drivers, Type-C Fast Charging, Made in India, IPX5 ear buds TWS (Pine Green)",899,4.2 out of 5 stars,451 ratings
Amazon Basics TWS in-Ear Earbuds (AB-T01B) with Fast Charging up to 80 Hours of Playtime | Dual 10mm Driver | IPX4 Water-Resistance | Bluetooth 5.3 | Charging Case with Mic | Touch Control (Green),"1,049",4.8 out of 5 stars,87 ratings
